# Solar spectrum from 1993 Kurucz models
# Teff =   5777.000     log g =   4.437700     log z =  0.0000000E+00
#
# B = -26.09 mag    V = -26.76 mag   B-V = +0.67  
# (measured from spectrum, assuming 4270 Jy for B=0 and 3670 Jy for V=0)
#
#  Table solar.dat  Fri 09:01:05 08-Sep-95
#
#K GRFTABLE crcomp$hstgraph_950809a.tab
#K CMPTABLE crcomp$hstcomp_950809a.tab
#K EXPR     crgrid$k93models/standards/sun
#
#      WAVELENGTH            FLUX
#       angstroms         photlam

            7850.     4.647763E13
            7870.     4.689206E13
            7890.     4.671544E13
            7910.     4.618269E13
            7930.     4.557549E13
            7950.     4.558785E13
            7970.     4.622335E13
            7990.     4.627462E13
            8010.     4.571836E13
            8030.     4.569650E13
            8050.     4.539889E13
            8070.     4.569330E13
            8090.     4.500291E13
            8110.     4.541631E13
            8130.     4.552119E13
            8150.     4.530069E13
            8170.     4.522697E13
            8190.     4.407452E13
            8210.     4.424164E13
            8230.     4.419349E13
            8250.     4.447793E13
            8270.     4.482353E13
            8290.     4.465746E13
            8310.     4.392759E13
            8330.     4.369646E13
            8350.     4.392608E13
            8370.     4.409969E13
            8390.     4.337516E13
            8410.     4.392850E13
            8430.     4.325553E13
            8450.     4.347329E13
            8470.     4.318502E13
            8490.     4.331634E13
            8510.     4.169800E13
            8530.     4.333890E13
            8550.     4.091192E13
            8570.     4.349203E13
            8590.     4.256214E13
            8610.     4.250475E13
            8630.     4.302888E13
            8650.     4.295549E13
            8670.     3.997163E13
            8690.     4.178281E13
            8710.     4.232451E13
            8730.     4.226187E13
            8750.     4.135508E13
            8770.     4.226476E13
            8790.     4.200094E13
            8810.     4.116615E13
            8830.     4.173118E13
            8850.     4.167909E13
            8870.     4.049895E13
            8890.     4.177691E13
            8910.     4.191026E13
            8930.     4.119262E13
            8950.     4.125192E13
            8970.     4.131096E13
            8990.     4.134554E13
            9010.     3.943322E13
            9030.     4.075872E13
            9050.     4.142748E13
            9070.     4.067717E13
            9090.     3.974142E13
            9110.     4.024534E13
            9130.     4.085676E13
            9150.     4.069478E13
            9170.     4.058767E13
            9190.     4.079861E13
            9210.     3.989261E13
            9230.     3.878639E13
            9250.     3.950443E13
            9270.     3.991293E13
            9290.     4.006958E13
            9310.     4.013694E13
            9330.     3.989296E13
            9350.     3.983001E13
            9370.     3.962584E13
            9390.     3.969138E13
            9410.     3.828657E13
            9430.     3.937980E13
            9450.     3.889901E13
            9470.     3.937688E13
            9490.     3.944097E13
            9510.     3.914091E13
            9530.     3.891619E13
            9550.     3.732254E13
            9570.     3.855150E13
            9590.     3.892183E13
            9610.     3.853584E13
            9630.     3.822093E13
            9650.     3.815874E13
            9670.     3.804161E13
            9690.     3.834392E13
            9710.     3.821211E13
            9730.     3.815845E13
            9750.     3.779431E13
            9770.     3.782996E13
            9790.     3.765499E13
            9810.     3.782468E13
            9830.     3.769176E13
            9850.     3.767816E13
            9870.     3.738888E13
            9890.     3.729334E13
            9910.     3.722387E13
            9930.     3.740107E13
            9950.     3.733125E13
            9970.     3.725554E13
            9990.     3.709878E13
           10025.     3.676043E13
           10075.     3.612819E13
           10125.     3.648088E13
           10175.     3.605996E13
           10225.     3.603297E13
           10275.     3.599226E13
           10325.     3.551024E13
           10375.     3.531577E13
           10425.     3.531216E13
           10475.     3.488849E13
           10525.     3.488656E13
           10575.     3.458808E13
           10625.     3.430400E13
           10675.     3.363613E13
           10725.     3.380082E13
           10775.     3.351025E13
           10825.     3.306007E13
           10875.     3.298696E13
           10925.     3.243884E13
           10975.     3.252893E13
           11025.     3.283713E13
           11075.     3.279822E13
           11125.     3.251946E13
           11175.     3.224907E13
           11225.     3.222975E13
           11275.     3.165359E13
           11325.     3.163635E13
           11375.     3.150090E13
           11425.     3.111081E13
           11475.     3.142313E13
           11525.     3.123373E13
           11575.     3.090589E13
           11625.     3.050107E13
           11675.     3.041615E13
           11725.     3.061869E13
           11775.     3.000969E13
           11825.     2.985051E13
           11875.     2.962181E13
           11925.     3.001670E13
           11975.     2.907382E13
           12025.     2.939363E13
           12075.     2.909582E13
           12125.     2.915459E13
           12175.     2.924963E13
           12225.     2.907057E13
           12275.     2.880501E13
           12325.     2.871680E13
           12375.     2.857192E13
           12425.     2.836806E13
           12475.     2.833860E13
           12525.     2.809733E13
           12575.     2.795003E13
           12625.     2.781853E13
           12675.     2.757731E13
           12725.     2.760056E13
           12775.     2.744819E13
           12825.     2.591272E13
           12875.     2.704913E13
           12925.     2.693369E13
           12975.     2.695013E13
           13025.     2.664528E13
           13075.     2.668247E13
           13125.     2.629872E13
           13175.     2.614252E13
           13225.     2.626809E13
           13275.     2.592209E13
           13325.     2.593079E13
           13375.     2.575191E13
           13425.     2.579451E13
           13475.     2.563208E13
           13525.     2.550940E13
           13575.     2.515631E13
           13625.     2.515648E13
           13675.     2.503148E13
           13725.     2.489961E13
           13775.     2.481192E13
           13825.     2.474623E13
           13875.     2.466208E13
           13925.     2.454730E13
           13975.     2.443538E13
           14025.     2.416476E13
           14075.     2.421278E13
           14125.     2.390795E13
           14175.     2.403502E13
           14225.     2.360743E13
           14275.     2.334329E13
           14325.     2.359536E13
           14375.     2.361809E13
           14425.     2.283960E13
           14475.     2.332334E13
           14525.     2.284457E13
           14570.     2.298589E13
           14620.     2.290980E13
           14675.     2.283849E13
           14725.     2.248914E13
           14775.     2.241248E13
           14825.     2.239641E13
           14875.     2.192458E13
           14925.     2.240698E13
           14975.     2.208984E13
           15025.     2.145654E13
           15075.     2.150355E13
           15125.     2.183929E13
           15175.     2.179844E13
           15225.     2.148878E13
           15275.     2.156705E13
           15325.     2.138311E13
           15375.     2.131144E13
           15425.     2.124635E13
           15475.     2.112969E13
           15525.     2.086228E13
           15575.     2.068646E13
           15625.     2.088980E13
           15675.     2.039605E13
           15725.     2.048678E13
           15775.     1.987202E13
           15825.     2.014151E13
           15875.     1.944999E13
           15925.     1.985470E13
           15975.     1.999479E13
           16050.     1.975199E13
           16150.     1.939178E13
           16250.     1.947276E13
           16350.     1.906093E13
           16450.     1.864911E13
           16550.     1.877131E13
           16650.     1.854047E13
           16750.     1.802297E13
           16850.     1.752721E13
           16950.     1.783695E13
           17050.     1.739023E13
           17150.     1.720768E13
           17250.     1.683022E13
           17350.     1.610223E13
           17450.     1.632799E13
           17550.     1.623192E13
           17650.     1.600552E13
           17750.     1.577220E13
           17850.     1.560726E13
           17950.     1.539385E13
           18050.     1.512072E13
           18150.     1.447607E13
           18250.     1.457354E13
           18350.     1.449859E13
           18450.     1.419886E13
           18550.     1.410749E13
           18650.     1.378203E13
           18750.     1.299483E13
           18850.     1.347488E13
           18950.     1.309206E13
           19050.     1.321209E13
           19150.     1.300077E13
           19250.     1.284367E13
           19350.     1.256261E13
           19450.     1.195711E13
           19550.     1.230580E13
           19650.     1.214792E13
           19750.     1.195734E13
           19850.     1.185388E13
           19950.     1.171360E13
           20050.     1.161812E13
           20150.     1.151280E13
           20250.     1.127168E13
           20350.     1.107247E13
           20450.     1.107212E13
           20550.     1.091018E13
           20650.     1.071024E13
           20750.     1.061293E13
           20850.     1.049037E13
           20950.     1.029824E13
           21050.     1.024893E13
           21150.     1.010537E13
           21250.     9.978225E12
           21350.     9.880922E12
           21450.     9.769793E12
           21550.     9.639692E12
           21650.     9.137090E12
           21750.     9.339297E12
           21850.     9.255223E12
           21950.     9.202212E12
           22050.     9.014527E12
           22150.     8.972162E12
           22250.     8.856383E12
           22350.     8.753208E12
           22450.     8.651868E12
           22550.     8.539230E12
           22650.     8.431395E12
           22750.     8.363117E12
           22850.     8.229330E12
           22950.     8.093847E12
           23050.     8.058019E12
           23150.     7.952463E12
           23250.     7.776486E12
           23350.     7.726305E12
           23450.     7.694407E12
           23550.     7.477322E12
           23650.     7.487361E12
           23750.     7.399662E12
           23850.     7.206851E12
           23950.     7.219266E12
           24050.     7.143676E12
           24150.     6.994774E12
           24250.     6.957465E12
           24350.     6.882702E12
           24450.     6.788740E12
           24550.     6.678488E12
           24650.     6.684867E12
           24750.     6.574267E12
           24850.     6.447873E12
           24950.     6.439470E12
           25050.     6.410978E12
           25150.     6.294086E12
           25250.     6.259404E12
           25350.     6.191640E12
           25450.     6.111988E12
           25550.     6.039869E12
           25650.     5.964310E12
           25750.     5.954060E12
           25850.     5.817011E12
           25950.     5.812787E12
           26050.     5.761479E12
           26150.     5.674302E12
           26250.     5.432352E12
           26350.     5.562222E12
           26450.     5.500066E12
           26550.     5.456159E12
           26650.     5.364062E12
           26750.     5.343550E12
           26850.     5.322119E12
           26950.     5.265814E12
           27050.     5.217514E12
           27150.     5.161558E12
           27250.     5.111133E12
           27350.     5.065280E12
           27450.     5.020807E12
           27550.     4.927787E12
           27650.     4.890813E12
           27750.     4.859283E12
           27850.     4.817958E12
           27950.     4.780452E12
           28050.     4.730776E12
           28150.     4.687869E12
           28250.     4.639161E12
           28350.     4.602093E12
           28450.     4.542919E12
           28550.     4.506592E12
           28650.     4.452320E12
           28750.     4.370727E12
           28850.     4.374074E12
           28950.     4.339540E12
           29050.     4.298601E12
           29150.     4.256818E12
           29250.     4.205075E12
           29350.     4.178161E12
           29450.     4.129685E12
           29550.     4.098901E12
           29650.     4.064171E12
           29750.     4.025122E12
           29850.     3.987298E12
           29950.     3.944791E12
           30050.     3.908988E12
           30150.     3.878323E12
           30250.     3.837955E12
           30350.     3.754033E12
           30450.     3.751545E12
           30550.     3.734025E12
           30650.     3.696395E12
           30750.     3.672228E12
           30850.     3.629587E12
           30950.     3.599159E12
           31050.     3.574612E12
           31150.     3.516750E12
           31250.     3.506548E12
           31350.     3.479519E12
           31450.     3.448225E12
           31550.     3.406460E12
           31650.     3.383765E12
           31750.     3.355395E12
           31850.     3.327075E12
           31950.     3.302144E12
           32100.     3.253721E12
           32300.     3.200912E12
           32500.     3.143197E12
           32700.     3.088447E12
           32900.     3.004294E12
           33100.     2.979196E12
           33300.     2.928637E12
           33500.     2.887259E12
           33700.     2.835530E12
           33900.     2.785139E12
           34100.     2.735941E12
           34300.     2.701199E12
           34500.     2.660910E12
           34700.     2.615881E12
           34900.     2.574309E12
           35100.     2.534497E12
           35300.     2.489903E12
           35500.     2.453906E12
           35700.     2.412217E12
           35900.     2.374081E12
           36100.     2.341825E12
           36300.     2.305515E12
           36500.     2.263304E12
           36700.     2.227146E12
           36900.     2.182926E12
           37100.     2.149471E12
           37300.     2.118357E12
           37500.     2.066339E12
           37700.     2.061801E12
           37900.     2.029693E12
           38100.     2.003200E12
           38300.     1.977521E12
           38500.     1.950295E12
           38700.     1.917623E12
           38900.     1.889931E12
           39100.     1.865356E12
           39300.     1.839464E12
           39500.     1.807288E12
           39700.     1.784638E12
           39900.     1.750693E12
           40100.     1.729677E12
           40300.     1.710195E12
           40500.     1.667086E12
           40700.     1.661516E12
           40900.     1.639340E12
           41100.     1.618579E12
           41300.     1.597820E12
           41500.     1.572810E12
           41700.     1.550796E12
           41900.     1.529874E12
           42100.     1.503886E12
           42300.     1.493185E12
           42500.     1.469255E12
           42700.     1.452472E12
           42900.     1.411254E12
           43100.     1.379466E12
           43300.     1.370156E12
           43500.     1.326771E12
           43700.     1.305576E12
           43900.     1.296916E12
           44100.     1.253709E12
           44300.     1.248882E12
           44500.     1.236075E12
           44700.     1.198035E12
           44900.     1.198916E12
           45100.     1.181585E12
           45300.     1.151449E12
           45500.     1.148192E12
           45700.     1.139395E12
           45900.     1.109389E12
           46100.     1.107693E12
           46300.     1.093333E12
           46500.     1.076007E12
           46700.     1.068937E12
           46900.     1.060003E12
           47100.     1.047222E12
           47300.     1.041753E12
           47500.     1.026824E12
           47700.     1.014085E12
           47900.     1.004452E12
           48100.     9.883274E11
           48300.     9.852549E11
           48500.     9.715433E11
           48700.     9.592089E11
           48900.     9.494095E11
           49100.     9.387705E11
           49300.     9.282178E11
           49500.     9.169212E11
           49700.     9.072846E11
           49900.     8.973962E11
           50100.     8.897171E11
           50300.     8.803853E11
           50500.     8.660878E11
           50700.     8.587850E11
           50900.     8.518622E11
           51100.     8.393706E11
           51300.     8.296967E11
           51500.     8.220907E11
           51700.     8.176401E11
           51900.     8.053148E11
           52100.     7.963928E11
           52300.     7.873825E11
           52500.     7.814586E11
           52700.     7.751514E11
           52900.     7.625599E11
           53100.     7.568430E11
           53300.     7.485581E11
           53500.     7.418544E11
           53700.     7.341534E11
           53900.     7.271110E11
           54100.     7.195973E11
           54300.     7.092513E11
           54500.     7.051571E11
           54700.     6.971983E11
           54900.     6.899329E11
           55100.     6.841135E11
           55300.     6.794124E11
           55500.     6.691093E11
           55700.     6.658298E11
           55900.     6.564788E11
           56100.     6.508091E11
           56300.     6.437872E11
           56500.     6.398300E11
           56700.     6.335406E11
           56900.     6.251672E11
           57100.     6.212379E11
           57300.     6.150434E11
           57500.     6.089421E11
           57700.     6.028118E11
           57900.     5.976457E11
           58100.     5.912997E11
           58300.     5.860818E11
           58500.     5.810046E11
           58700.     5.742209E11
           58900.     5.681383E11
           59100.     5.624858E11
           59300.     5.590174E11
           59500.     5.526472E11
           59700.     5.488773E11
           59900.     5.436595E11
           60100.     5.385035E11
           60300.     5.336745E11
           60500.     5.284431E11
           60700.     5.233343E11
           60900.     5.183600E11
           61100.     5.128271E11
           61300.     5.091316E11
           61500.     5.047594E11
           61700.     5.001825E11
           61900.     4.958343E11
           62100.     4.913818E11
           62300.     4.856600E11
           62500.     4.816693E11
           62700.     4.774290E11
           62900.     4.734767E11
           63100.     4.685607E11
           63300.     4.653423E11
           63500.     4.608126E11
           63700.     4.569492E11
           63900.     4.525961E11
           64200.     4.466960E11
           64600.     4.385163E11
           65000.     4.307087E11
           65400.     4.234800E11
           65800.     4.162705E11
           66200.     4.088256E11
           66600.     4.019510E11
           67000.     3.949440E11
           67400.     3.880020E11
           67800.     3.816080E11
           68200.     3.751085E11
           68600.     3.688403E11
           69000.     3.626389E11
           69400.     3.565030E11
           69800.     3.507551E11
           70200.     3.446633E11
           70600.     3.392568E11
           71000.     3.337552E11
           71400.     3.283669E11
           71800.     3.230502E11
           72200.     3.178321E11
           72600.     3.126942E11
           73000.     3.078487E11
           73400.     3.028211E11
           73800.     2.981930E11
           74200.     2.933381E11
           74600.     2.878860E11
           75000.     2.838494E11
           75400.     2.798773E11
           75800.     2.757848E11
           76200.     2.715574E11
           76600.     2.674653E11
           77000.     2.633144E11
           77400.     2.594609E11
           77800.     2.555891E11
           78200.     2.517832E11
           78600.     2.480577E11
           79000.     2.443959E11
           79400.     2.407969E11
           79800.     2.373060E11
